"929,500",10/30/2025,"MS1.1 - Automatic Formal Verification: Reasoning Core
Deliverables: Documentation of the optimization and translation rules Code for the reasoning core available on the open-source Github",Pause
"929,500",4/30/2026,"MS1.2 - Automatic Formal Verification: Blockchain formalization
Deliverables: Documentation of the operators and state transition Documentation of the ledger rules implemented Code available on the open source Github",
"929,500",7/30/2026,"MS1.3 - Automatic Formal Verification: Universal annotation language
Deliverables: Documentation and formal spec Presentation at the UPLC 2025 Examples in the open source repository",
"929,500",10/30/2026,"MS1.4 - Automatic Formal Verification: Plinth Bridge
Deliverables: Code available in either the plutus repository as a compiler option or in the afv tool repository Examples in the afv tool repository with both correct properties and counter example generation",
"1,577,333",1/30/2026,"MS2.1 - Property Based Testing Tool: Library ""tool""
Deliverables: Code available in open source 5 examples showcasing the tool usage and capabilities",
"1,577,333",7/30/2026,"MS2.2 - Property Based Testing Tool:CLI Tool
Deliverables: Release of the binaries in the open source repository Source code available in the open source repository",
"1,577,334",7/30/2026,"MS2.3 - Property Based Testing Tool: VSCode extension
Deliverables: Release of the source code in an open source repository Packaged of the extension for the market place",
"518,093",10/30/2025,"MS3.1 - Static Analyzer: Proof of concept
Deliverables: Source code available in an open-source repository Tests to verify the discovery of each weaknesses Tests to verify that we only target on-chain code",Pause
"518,093",2/28/2026,"MS3.2 - Static Analyzer: List of coding rules and antipatterns
Deliverables: A report of all weaknesses and a classification",
"518,094",7/30/2026,"MS3.3 - Static Analyzer: Stable release
Deliverables: Stable release in the open source repository",
"2,366,000",10/30/2025,"MS4.1 - Leios: Progress report on impact analysis and technical requirements
Deliverables: 1. Impact Analysis Report, 2. CIP Published",Pause
"2,366,000",11/30/2025,"MS4.2 - Leios: Progress report on technical design, implementation plan
Deliverables: 1. Technical Design and Implementation Plan, 2. Cardano Blueprints updated with necessary Leios changes",Pause
"2,366,000",12/30/2025,"MS4.3 - Leios: Quality and performance benchmarking strategy
Deliverables: 1. Threat Model, 2. Selected experiments or analysis of key threats and mitigations, 3. Early load test (or equivalent) in a controlled environment",Pause
"2,366,000",1/30/2026,"MS4.4 - Leios: Initial code changes
Deliverables: Code changes merged into Intersect GitHub repository",
"2,366,000",1/30/2026,"MS4.5 - Leios: Formal specification and Conformance tests
Deliverables: Formal specs and conformance tests documented",
"2,366,000",7/30/2026,"MS4.6 - Leios: Second phase of code changes
Deliverables: Code changes merged into Intersect GitHub repository. Leios-enabled Cardno node usable in a public Devnet",
