2447000,30/08/2025,MS 17.1: Monthly Maintenance and Support. Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee
2447000,30/09/2025,MS 17.2: Monthly Maintenance and Support. Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee
2447000,30/10/2025,MS 17.3: Monthly Maintenance and Support. Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee
2447000,30/11/2025,MS 17.4: Monthly Maintenance and Support. Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee
2447000,30/12/2025,MS 17.5: Monthly Maintenance and Support. Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee
2447000,30/01/2026,MS 17.6: Monthly Maintenance and Support. Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee
2447000,28/02/2026,MS 17.7: Monthly Maintenance and Support. Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee
2447000,30/03/2026,MS 17.8: Monthly Maintenance and Support. Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee
2447000,30/04/2026,MS 17.9: Monthly Maintenance and Support. Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee
2447000,30/05/2026,MS 17.10: Monthly Maintenance and Support. Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee
2447000,30/06/2026,MS 17.11: Monthly Maintenance and Support. Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee
2447000,31/07/2026,MS 17.12: Monthly Maintenance and Support. Deliverables: Monthly reports with accompanying presentation to the relevant Intersect Committee
477867,30/10/2025,MS 18.1: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables. Deliverables: Reports that accompany key deliverables.
477867,30/11/2025,MS 18.2: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables. Deliverables: Reports that accompany key deliverables.
477867,30/12/2025,MS 18.3: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables. Deliverables: Reports that accompany key deliverables.
477867,30/01/2026,MS 18.4: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables. Deliverables: Reports that accompany key deliverables.
477867,28/02/2026,MS 18.5: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables. Deliverables: Reports that accompany key deliverables.
477867,30/03/2026,MS 18.6: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables. Deliverables: Reports that accompany key deliverables.
477867,30/04/2026,MS 18.7: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables. Deliverables: Reports that accompany key deliverables.
477867,30/05/2026,MS 18.8: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables. Deliverables: Reports that accompany key deliverables.
477867,30/06/2026,MS 18.9: Monthly T&M payment of funding allocated to independent audits and security assurance for key deliverables. Deliverables: Reports that accompany key deliverables.
